ID,EDays
48,16
49,16
50,16
51,16
52,16
53,16
54,16
55,16
56,16
57,16
58,16
59,16
60,16
61,16
62,16
63,16
64,16
65,16
66,16
67,16
68,16
69,16
70,16
71,16
72,16
73,16
74,16
75,16
76,16
77,16
78,16
79,16
80,16
81,16
82,16
83,16
84,16
85,16
86,16
87,16
88,16
89,16
90,16
91,16
92,16
93,16
94,16
95,16
96,16
97,16
98,16
99,16
100,16
101,16
102,16
103,16
104,16
105,16
106,16
107,16
108,16
109,16
110,16
111,16
112,16
113,16
114,16
115,16
1,20
2,20
3,20
4,20
5,20
6,20
7,20
8,20
9,20
10,20
11,20
12,20
13,20
14,20
15,20
16,20
17,20
18,20
19,20
20,20
21,20
22,20
23,20
24,20
25,20
26,20
27,20
28,20
29,20
30,20
31,20
32,20
33,20
34,20
35,20
36,20
37,20
38,20
39,20
40,20
41,20
42,20
43,20
44,20
45,20
46,20
47,20
326,20
327,20
328,20
329,20
330,20
331,20
332,20
333,20
334,20
335,20
336,20
337,20
338,20
339,20
340,20
341,20
342,20
343,20
344,20
345,20
346,20
347,20
348,20
349,20
350,20
351,20
352,20
353,20
354,20
355,20
356,20
357,20
358,20
359,20
360,20
361,20
362,20
363,20
364,20
365,20
366,20
367,20
368,20
369,20
371,20
373,20
375,20
377,20
378,20
380,20
381,20
382,20
383,20
384,20
385,20
386,20
387,20
388,20
389,20
390,20
391,20
392,20
393,20
394,20
397,20
398,20
399,20
400,20
401,20
402,20
403,20
404,20
405,20
407,20
408,20
409,20
410,20
411,20
412,20
413,20
414,20
416,20
417,20
418,20
419,20
421,20
423,20
424,20
427,20
429,20
430,20
431,20
432,20
434,20
435,20
437,20
438,20
439,20
440,20
441,20
442,20
443,20
446,20
447,20
448,20
449,20
450,20
451,20
453,20
454,20
455,20
456,20
457,20
458,20
459,20
460,20
461,20
462,20
463,20
464,20
465,20
466,20
467,20
468,20
469,20
470,20
471,20
472,20
473,20
474,20
475,20
476,20
477,20
478,20
479,20
480,20
638,20
639,20
640,20
641,20
642,20
644,20
645,20
646,20
647,20
648,20
649,20
650,20
651,20
652,20
653,20
654,20
655,20
656,20
657,20
658,20
659,20
661,20
662,20
663,20
664,20
665,20
666,20
667,20
668,20
669,20
670,20
671,20
672,20
673,20
674,20
675,20
676,20
677,20
678,20
679,20
680,20
681,20
682,20
683,20
684,20
685,20
686,20
687,20
688,20
689,20
690,20
691,20
692,20
693,20
694,20
695,20
696,20
697,20
698,20
699,20
700,20
701,20
702,20
703,20
704,20
705,20
706,20
707,20
708,20
709,20
710,20
711,20
712,20
713,20
714,20
715,20
716,20
717,20
718,20
719,20
721,20
722,20
723,20
724,20
116,21
117,21
118,21
119,21
120,21
121,21
122,21
123,21
124,21
125,21
126,21
127,21
128,21
129,21
130,21
131,21
132,21
133,21
134,21
135,21
136,21
137,21
138,21
139,21
140,21
141,21
142,21
143,21
144,21
145,21
146,21
147,21
148,21
149,21
150,21
151,21
152,21
153,21
154,21
155,21
156,21
157,21
158,21
159,21
160,21
161,21
162,21
163,21
164,21
165,21
166,21
167,21
168,21
169,21
170,21
171,21
172,21
173,21
174,21
175,21
176,21
177,21
178,21
179,21
180,21
181,21
182,21
183,21
184,21
186,21
187,21
188,21
189,21
190,21
191,21
192,21
193,21
194,21
195,21
196,21
197,21
198,21
199,21
200,21
201,21
202,21
203,21
204,21
205,21
206,21
207,21
208,21
209,21
210,21
211,21
212,21
213,21
214,21
215,21
216,21
217,21
218,21
219,21
220,21
221,21
222,21
223,21
224,21
225,21
226,21
227,21
228,21
229,21
230,21
231,21
232,21
233,21
234,21
235,21
236,21
237,21
238,21
239,21
240,21
241,21
242,21
245,21
247,21
248,21
249,21
250,21
251,21
252,21
253,21
254,21
255,21
256,21
257,21
258,21
259,21
260,21
261,21
263,21
264,21
265,21
266,21
267,21
268,21
269,21
270,21
376,21
395,21
396,21
406,21
420,21
422,21
425,21
433,21
436,21
445,21
481,21
482,21
483,21
484,21
485,21
486,21
487,21
488,21
489,21
551,21
552,21
553,21
554,21
555,21
556,21
557,21
558,21
559,21
560,21
561,21
562,21
563,21
564,21
565,21
566,21
567,21
568,21
569,21
570,21
571,21
572,21
573,21
574,21
575,21
576,21
577,21
578,21
579,21
580,21
581,21
582,21
583,21
584,21
585,21
586,21
587,21
588,21
589,21
590,21
591,21
185,22
262,22
279,22
283,22
284,22
285,22
287,22
288,22
289,22
290,22
291,22
292,22
293,22
294,22
295,22
296,22
297,22
298,22
299,22
300,22
301,22
302,22
304,22
306,22
307,22
308,22
309,22
310,22
311,22
312,22
313,22
314,22
315,22
316,22
317,22
318,22
319,22
320,22
321,22
322,22
323,22
324,22
325,22
490,22
491,22
492,22
493,22
494,22
495,22
496,22
497,22
498,22
499,22
500,22
501,22
502,22
503,22
504,22
505,22
506,22
507,22
508,22
509,22
510,22
511,22
512,22
513,22
514,22
515,22
516,22
517,22
518,22
519,22
520,22
521,22
522,22
523,22
524,22
525,22
526,22
527,22
528,22
529,22
530,22
531,22
532,22
533,22
534,22
535,22
536,22
537,22
538,22
539,22
540,22
541,22
542,22
543,22
544,22
545,22
546,22
547,22
548,22
549,22
550,22
592,22
593,22
594,22
595,22
596,22
597,22
598,22
599,22
600,22
601,22
602,22
603,22
604,22
605,22
606,22
607,22
608,22
609,22
611,22
612,22
613,22
614,22
615,22
617,22
618,22
619,22
620,22
621,22
622,22
623,22
624,22
625,22
627,22
628,22
629,22
631,22
633,22
634,22
635,22
636,22
637,22
725,22
726,22
727,22
731,22
732,22
733,22
734,22
735,22
736,22
737,22
738,22
739,22
740,22
741,22
742,22
743,22
744,22
745,22
746,22
747,22
748,22
749,22
750,22
751,22
752,22
753,22
756,22
757,22
758,22
759,22
760,22
761,22
762,22
763,22
765,22
766,22
767,22
770,22
771,22
773,22
774,22
775,22
776,22
777,22
778,22
779,22
780,22
781,22
782,22
